contenu_textuel_extrait,contenu_textuel_nettoye
Which day?,which day
Sunday,sunday
Monday,monday
Tuesday,tuesday
Wednesday,wednesday
Thursday,thursday
Friday,friday
Saturday,saturday
Report format:,report format
Summary,summary
Summary (text),summary text
Abstract,abstract
Abstract (text),abstract text
PubMed,pubmed
Send at most:,send at most
1 item,1 item
5 items,5 items
10 items,10 items
20 items,20 items
50 items,50 items
100 items,100 items
200 items,200 items
Send even when there aren't any new results,send even when there arent any new results
Optional text in email:,optional text in email
Save,save
Cancel,cancel
Create a file for external citation management software,create a file for external citation management software
Create file,create file
Cancel,cancel
Your RSS Feed,your rss feed
Name of RSS Feed:,name of rss feed
Number of items displayed:,number of items displayed
5,5
10,10
15,15
20,20
50,50
100,100
Create RSS,create rss
Cancel,cancel
RSS Link,rss link
Copy,copy
Full text links,full text links
MDPI,mdpi
Free PMC article,free pmc article
Full text links,full text links
ActionsCiteCollectionsAdd to CollectionsCreate a new collectionAdd to an existing collection,actionscitecollectionsadd to collectionscreate a new collectionadd to an existing collection
Name your collection:,name your collection
Name must be less than 100 characters,name must be less than 100 characters
Choose a collection:,choose a collection
Unable to load your collection due to an errorPlease try again,unable to load your collection due to an errorplease try again
Add,add
Cancel,cancel
Display options,display options
Display options,display options
Format,format
AbstractPubMedPMID,abstractpubmedpmid
Share,share
Permalink,permalink
Copy,copy
Page navigation,page navigation
Title & authors,title authors
Abstract,abstract
Conflict of interest statement,conflict of interest statement
Figures,figures
Similar articles,similar articles
Cited by,cited by
References,references
Publication types,publication types
MeSH terms,mesh terms
Substances,substances
Related information,related information
Grants and funding,grants and funding
LinkOut - more resources,linkout more resources
Title & authors,title authors
Abstract,abstract
Conflict of interest statement,conflict of interest statement
Figures,figures
Similar articles,similar articles
Cited by,cited by
References,references
Publication types,publication types
MeSH terms,mesh terms
Substances,substances
Related information,related information
Grants and funding,grants and funding
LinkOut - more resources,linkout more resources
Review,review
Int J Mol Sci,int j mol sci
Actions,actions
Search in PubMed,search in pubmed
Search in NLM Catalog,search in nlm catalog
Add to Search,add to search
. 2022 Oct 25;23(21):12844.,2022 oct 25232112844
doi: 10.3390/ijms232112844.,doi 103390ijms232112844
The Role of Telomerase in Breast Cancer's Response to Therapy,the role of telomerase in breast cancers response to therapy
Eliza Judasz,eliza judasz
1,1
", Natalia Lisiak",natalia lisiak
1,1
", Przemysław Kopczyński",przemysław kopczyński
2,2
", Magdalena Taube",magdalena taube
1,1
", Błażej Rubiś",błażej rubiś
1,1
Affiliations,affiliations
Expand,expand
Affiliations,affiliations
"1 Department of Clinical Chemistry and Molecular Diagnostics, Poznan University of Medical Sciences, 60-806 Poznan, Poland.",1 department of clinical chemistry and molecular diagnostics poznan university of medical sciences 60806 poznan poland
"2 Centre for Orthodontic Mini-Implants at the Department and Clinic of Maxillofacial Orthopedics and Orthodontics, Poznan University of Medical Sciences, 60-812 Poznan, Poland.",2 centre for orthodontic miniimplants at the department and clinic of maxillofacial orthopedics and orthodontics poznan university of medical sciences 60812 poznan poland
PMID:,pmid
36361634,36361634
PMCID:,pmcid
PMC9654063,pmc9654063
DOI:,doi
10.3390/ijms232112844,103390ijms232112844
Item in Clipboard,item in clipboard
Review,review
The Role of Telomerase in Breast Cancer's Response to Therapy,the role of telomerase in breast cancers response to therapy
Eliza Judasz et al.,eliza judasz et al
Int J Mol Sci.,int j mol sci
2022.,2022
Show details,show details
Display options,display options
Display options,display options
Format,format
Abstract,abstract
PubMed,pubmed
PMID,pmid
Int J Mol Sci,int j mol sci
Actions,actions
Search in PubMed,search in pubmed
Search in NLM Catalog,search in nlm catalog
Add to Search,add to search
. 2022 Oct 25;23(21):12844.,2022 oct 25232112844
doi: 10.3390/ijms232112844.,doi 103390ijms232112844
Authors,authors
Eliza Judasz,eliza judasz
1,1
", Natalia Lisiak",natalia lisiak
1,1
", Przemysław Kopczyński",przemysław kopczyński
2,2
", Magdalena Taube",magdalena taube
1,1
", Błażej Rubiś",błażej rubiś
1,1
Affiliations,affiliations
"1 Department of Clinical Chemistry and Molecular Diagnostics, Poznan University of Medical Sciences, 60-806 Poznan, Poland.",1 department of clinical chemistry and molecular diagnostics poznan university of medical sciences 60806 poznan poland
"2 Centre for Orthodontic Mini-Implants at the Department and Clinic of Maxillofacial Orthopedics and Orthodontics, Poznan University of Medical Sciences, 60-812 Poznan, Poland.",2 centre for orthodontic miniimplants at the department and clinic of maxillofacial orthopedics and orthodontics poznan university of medical sciences 60812 poznan poland
PMID:,pmid
36361634,36361634
PMCID:,pmcid
PMC9654063,pmc9654063
DOI:,doi
10.3390/ijms232112844,103390ijms232112844
Item in Clipboard,item in clipboard
Full text links,full text links
CiteDisplay options,citedisplay options
Display options,display options
Format,format
AbstractPubMedPMID,abstractpubmedpmid
Abstract,abstract
"Currently, breast cancer appears to be the most widespread cancer in the world and the most common cause of cancer deaths. This specific type of cancer affects women in both developed and developing countries. Prevention and early diagnosis are very important factors for good prognosis. A characteristic feature of cancer cells is the ability of unlimited cell division, which makes them immortal. Telomeres, which are shortened with each cell division in normal cells, are rebuilt in cancer cells by the enzyme telomerase, which is expressed in more than 85% of cancers (up to 100% of adenocarcinomas, including breast cancer). Telomerase may have different functions that are related to telomeres or unrelated. It has been shown that high activity of the enzyme in cancer cells is associated with poor cell sensitivity to therapies. Therefore, telomerase has become a potential target for cancer therapies. The low efficacy of therapies has resulted in the search for new combined and more effective therapeutic methods, including the involvement of telomerase inhibitors and telomerase-targeted immunotherapy.",currently breast cancer appears to be the most widespread cancer in the world and the most common cause of cancer deaths this specific type of cancer affects women in both developed and developing countries prevention and early diagnosis are very important factors for good prognosis a characteristic feature of cancer cells is the ability of unlimited cell division which makes them immortal telomeres which are shortened with each cell division in normal cells are rebuilt in cancer cells by the enzyme telomerase which is expressed in more than 85 of cancers up to 100 of adenocarcinomas including breast cancer telomerase may have different functions that are related to telomeres or unrelated it has been shown that high activity of the enzyme in cancer cells is associated with poor cell sensitivity to therapies therefore telomerase has become a potential target for cancer therapies the low efficacy of therapies has resulted in the search for new combined and more effective therapeutic methods including the involvement of telomerase inhibitors and telomerasetargeted immunotherapy
Keywords:,keywords
breast cancer; resistance; telomerase; therapy.,breast cancer resistance telomerase therapy
PubMed Disclaimer,pubmed disclaimer
Conflict of interest statement,conflict of interest statement
The authors declare no conflict of interest.,the authors declare no conflict of interest
Figures,figures
Figure 1,figure 1
"Association between hTERT, key signaling…",association between htert key signaling
Figure 1,figure 1
"Association between hTERT, key signaling pathways, and senescence (acc. [21,22,39], modified). The hTERT…",association between htert key signaling pathways and senescence acc 212239 modified the htert
Figure 1,figure 1
"Association between hTERT, key signaling pathways, and senescence (acc. [21,22,39], modified). The hTERT subunit of telomerase can be involved in various metabolic pathways (e.g., NFκB, Wnt/β-catenin, and adhesion as well as senescence) and affect the expression of various genes. Under the influence of stress, hTERT is translocated to mitochondria, where hTERT protects mitochondrial metabolism by lowering the level of ROS and binding to mtDNA.",association between htert key signaling pathways and senescence acc 212239 modified the htert subunit of telomerase can be involved in various metabolic pathways eg nfκb wntβcatenin and adhesion as well as senescence and affect the expression of various genes under the influence of stress htert is translocated to mitochondria where htert protects mitochondrial metabolism by lowering the level of ros and binding to mtdna
See this image and copyright information in PMC,see this image and copyright information in pmc
Similar articles,similar articles
Complex roles for telomeres and telomerase in breast carcinogenesis.,complex roles for telomeres and telomerase in breast carcinogenesis
Artandi SE.,artandi se
Artandi SE.,artandi se
Breast Cancer Res. 2003;5(1):37-41. doi: 10.1186/bcr553. Epub 2002 Oct 29.,breast cancer res 2003513741 doi 101186bcr553 epub 2002 oct 29
Breast Cancer Res. 2003.,breast cancer res 2003
PMID: 12559044,pmid 12559044
Free PMC article.,free pmc article
Telomeres and telomerase: understanding basic structure and potential new therapeutic strategies targeting it in the treatment of cancer.,telomeres and telomerase understanding basic structure and potential new therapeutic strategies targeting it in the treatment of cancer
Sekhri K.,sekhri k
Sekhri K.,sekhri k
J Postgrad Med. 2014 Jul-Sep;60(3):303-8. doi: 10.4103/0022-3859.138797.,j postgrad med 2014 julsep6033038 doi 10410300223859138797
J Postgrad Med. 2014.,j postgrad med 2014
PMID: 25121374,pmid 25121374
Review.,review
"[Telomeres, telomerase and cancer].",telomeres telomerase and cancer
"Soria JC, Rixe O.",soria jc rixe o
"Soria JC, et al.",soria jc et al
Bull Cancer. 1997 Oct;84(10):963-70.,bull cancer 1997 oct841096370
Bull Cancer. 1997.,bull cancer 1997
PMID: 9435798,pmid 9435798
Review.,review
French.,french
Telomerase and breast cancer.,telomerase and breast cancer
"Herbert BS, Wright WE, Shay JW.",herbert bs wright we shay jw
"Herbert BS, et al.",herbert bs et al
Breast Cancer Res. 2001;3(3):146-9. doi: 10.1186/bcr288. Epub 2001 Feb 22.,breast cancer res 2001331469 doi 101186bcr288 epub 2001 feb 22
Breast Cancer Res. 2001.,breast cancer res 2001
PMID: 11305948,pmid 11305948
Free PMC article.,free pmc article
Review.,review
Telomere biology of pediatric cancer.,telomere biology of pediatric cancer
"Tabori U, Dome JS.",tabori u dome js
"Tabori U, et al.",tabori u et al
Cancer Invest. 2007 Apr-May;25(3):197-208. doi: 10.1080/07357900701208683.,cancer invest 2007 aprmay253197208 doi 10108007357900701208683
Cancer Invest. 2007.,cancer invest 2007
PMID: 17530490,pmid 17530490
Review.,review
See all similar articles,see all similar articles
Cited by,cited by
Low-power red laser and blue LED modulate telomere maintenance and length in human breast cancer cells.,lowpower red laser and blue led modulate telomere maintenance and length in human breast cancer cells
"Farias TG, Santos MSD, Mencalha AL, da Fonseca AS.",farias tg santos msd mencalha al da fonseca as
"Farias TG, et al.",farias tg et al
Lasers Med Sci. 2024 Oct 7;39(1):248. doi: 10.1007/s10103-024-04194-w.,lasers med sci 2024 oct 7391248 doi 101007s1010302404194w
Lasers Med Sci. 2024.,lasers med sci 2024
PMID: 39370492,pmid 39370492
Obesity-Senescence-Breast Cancer: Clinical Presentation of a Common Unfortunate Cycle.,obesitysenescencebreast cancer clinical presentation of a common unfortunate cycle
"Engin AB, Engin A.",engin ab engin a
"Engin AB, et al.",engin ab et al
Adv Exp Med Biol. 2024;1460:821-850. doi: 10.1007/978-3-031-63657-8_27.,adv exp med biol 20241460821850 doi 1010079783031636578_27
Adv Exp Med Biol. 2024.,adv exp med biol 2024
PMID: 39287873,pmid 39287873
Review.,review
Impact of Molecular Profiling on Therapy Management in Breast Cancer.,impact of molecular profiling on therapy management in breast cancer
"Ultimescu F, Hudita A, Popa DE, Olinca M, Muresean HA, Ceausu M, Stanciu DI, Ginghina O, Galateanu B.",ultimescu f hudita a popa de olinca m muresean ha ceausu m stanciu di ginghina o galateanu b
"Ultimescu F, et al.",ultimescu f et al
J Clin Med. 2024 Aug 23;13(17):4995. doi: 10.3390/jcm13174995.,j clin med 2024 aug 2313174995 doi 103390jcm13174995
J Clin Med. 2024.,j clin med 2024
PMID: 39274207,pmid 39274207
Free PMC article.,free pmc article
Review.,review
All-trans-retinoic acid modulates glycolysis via H19 and telomerase: the role of mir-let-7a in estrogen receptor-positive breast cancer cells.,alltransretinoic acid modulates glycolysis via h19 and telomerase the role of mirlet7a in estrogen receptorpositive breast cancer cells
"El Habre R, Aoun R, Tahtouh R, Hilal G.",el habre r aoun r tahtouh r hilal g
"El Habre R, et al.",el habre r et al
BMC Cancer. 2024 May 21;24(1):615. doi: 10.1186/s12885-024-12379-3.,bmc cancer 2024 may 21241615 doi 101186s12885024123793
BMC Cancer. 2024.,bmc cancer 2024
PMID: 38773429,pmid 38773429
Free PMC article.,free pmc article
Generation and application of immortalized sheep fetal fibroblast cell line.,generation and application of immortalized sheep fetal fibroblast cell line
"Du G, Zhang C, Cao X, Li L, Zhang Y, Shang Y, Wu J.",du g zhang c cao x li l zhang y shang y wu j
"Du G, et al.",du g et al
BMC Vet Res. 2024 May 14;20(1):198. doi: 10.1186/s12917-024-04054-3.,bmc vet res 2024 may 14201198 doi 101186s12917024040543
BMC Vet Res. 2024.,bmc vet res 2024
PMID: 38745180,pmid 38745180
Free PMC article.,free pmc article
"See all ""Cited by"" articles",see all cited by articles
References,references
"Sung H., Ferlay J., Siegel R.L., Laversanne M., Soerjomataram I., Jemal A., Bray F. Global Cancer Statistics 2020: GLOBOCAN Estimates of Incidence and Mortality Worldwide for 36 Cancers in 185 Countries. CA Cancer J. Clin. 2021;71:209–249. doi: 10.3322/caac.21660.",sung h ferlay j siegel rl laversanne m soerjomataram i jemal a bray f global cancer statistics 2020 globocan estimates of incidence and mortality worldwide for 36 cancers in 185 countries ca cancer j clin 202171209249 doi 103322caac21660
-,
DOI,doi
-,
PubMed,pubmed
"GLOBOCAN 2020 Estimated Number of Incident Cases and Deaths Worldwide, Females, All Ages (excl. NMSC) [(accessed on 14 April 2022)]. Available online: https://gco.iarc.fr/today/online-analysis-multi-bars?v=2020&mode=cancer&....",globocan 2020 estimated number of incident cases and deaths worldwide females all ages excl nmsc accessed on 14 april 2022 available online
"Bryś M., Laskowska M., Forma E., Krześlak A. Telomeraza—Struktura i Funkcja Oraz Regulacja Ekspresji Genu. Folia Med. Lodz. 2012;39:293–326.",bryś m laskowska m forma e krześlak a telomerazastruktura i funkcja oraz regulacja ekspresji genu folia med lodz 201239293326
"Xu Y., Goldkorn A. Telomere and Telomerase Therapeutics in Cancer. Genes. 2016;7:22. doi: 10.3390/genes7060022.",xu y goldkorn a telomere and telomerase therapeutics in cancer genes 2016722 doi 103390genes7060022
-,
DOI,doi
-,
PMC,pmc
-,
PubMed,pubmed
"Krzakowski K., Krzemieniecki K. Wybrane Nowotwory: Rak Piersi. In: Gajewski P., Szczeklik A., editors. Interna Szczeklika. Medycyna Praktyczna; Kraków, Poland: 2017. pp. 2325–2329.",krzakowski k krzemieniecki k wybrane nowotwory rak piersi in gajewski p szczeklik a editors interna szczeklika medycyna praktyczna kraków poland 2017 pp 23252329
Show all 105 references,show all 105 references
Publication types,publication types
Review,review
Actions,actions
Search in PubMed,search in pubmed
Search in MeSH,search in mesh
Add to Search,add to search
MeSH terms,mesh terms
Breast Neoplasms* / drug therapy,breast neoplasms drug therapy
Actions,actions
Search in PubMed,search in pubmed
Search in MeSH,search in mesh
Add to Search,add to search
Breast Neoplasms* / genetics,breast neoplasms genetics
Actions,actions
Search in PubMed,search in pubmed
Search in MeSH,search in mesh
Add to Search,add to search
Enzyme Inhibitors / therapeutic use,enzyme inhibitors therapeutic use
Actions,actions
Search in PubMed,search in pubmed
Search in MeSH,search in mesh
Add to Search,add to search
Female,female
Actions,actions
Search in PubMed,search in pubmed
Search in MeSH,search in mesh
Add to Search,add to search
Humans,humans
Actions,actions
Search in PubMed,search in pubmed
Search in MeSH,search in mesh
Add to Search,add to search
Immunotherapy,immunotherapy
Actions,actions
Search in PubMed,search in pubmed
Search in MeSH,search in mesh
Add to Search,add to search
Neoplasms* / pathology,neoplasms pathology
Actions,actions
Search in PubMed,search in pubmed
Search in MeSH,search in mesh
Add to Search,add to search
Telomerase* / metabolism,telomerase metabolism
Actions,actions
Search in PubMed,search in pubmed
Search in MeSH,search in mesh
Add to Search,add to search
Telomere / metabolism,telomere metabolism
Actions,actions
Search in PubMed,search in pubmed
Search in MeSH,search in mesh
Add to Search,add to search
Substances,substances
Telomerase,telomerase
Actions,actions
Search in PubMed,search in pubmed
Search in MeSH,search in mesh
Add to Search,add to search
Enzyme Inhibitors,enzyme inhibitors
Actions,actions
Search in PubMed,search in pubmed
Search in MeSH,search in mesh
Add to Search,add to search
Related information,related information
MedGen,medgen
Grants and funding,grants and funding
This work was funded by Poznan University of Medical Sciences.,this work was funded by poznan university of medical sciences
LinkOut - more resources,linkout more resources
Full Text Sources,full text sources
Europe PubMed Central,europe pubmed central
MDPI,mdpi
PubMed Central,pubmed central
Medical,medical
MedlinePlus Health Information,medlineplus health information
Full text links,full text links
[x],x
MDPI,mdpi
Free PMC article,free pmc article
[x],x
Cite,cite
Copy,copy
Download .nbib,download nbib
.nbib,nbib
Format:,format
AMA,ama
APA,apa
MLA,mla
NLM,nlm
Send To,send to
Clipboard,clipboard
Email,email
Save,save
My Bibliography,my bibliography
Collections,collections
Citation Manager,citation manager
[x],x
NCBI Literature Resources,ncbi literature resources
MeSH,mesh
PMC,pmc
Bookshelf,bookshelf
Disclaimer,disclaimer
The PubMed wordmark and PubMed logo are registered trademarks of the U.S. Department of Health and Human Services (HHS). Unauthorized use of these marks is strictly prohibited.,the pubmed wordmark and pubmed logo are registered trademarks of the us department of health and human services hhs unauthorized use of these marks is strictly prohibited
Follow NCBI,follow ncbi
Twitter,twitter
Facebook,facebook
LinkedIn,linkedin
GitHub,github
Connect with NLM,connect with nlm
Twitter,twitter
SM-Facebook,smfacebook
SM-Youtube,smyoutube
National Library of Medicine,national library of medicine
8600 Rockville Pike,8600 rockville pike
"Bethesda, MD 20894",bethesda md 20894
Web Policies,web policies
FOIA,foia
HHS Vulnerability Disclosure,hhs vulnerability disclosure
Help,help
Accessibility,accessibility
Careers,careers
NLM,nlm
NIH,nih
HHS,hhs
USA.gov,usagov
