contenu_textuel_extrait,contenu_textuel_nettoye,tokens,stemmed_tokens,lemmatized_tokens
The site is secure.,the site is secure,"['the', 'site', 'is', 'secure']","['the', 'site', 'is', 'secur']","['the', 'site', 'is', 'secure']"
The https:// ensures that you are connecting to the,the ensures that you are connecting to the,"['the', 'ensures', 'that', 'you', 'are', 'connecting', 'to', 'the']","['the', 'ensur', 'that', 'you', 'are', 'connect', 'to', 'the']","['the', 'ensures', 'that', 'you', 'are', 'connecting', 'to', 'the']"
official website and that any information you provide is encrypted,official website and that any information you provide is encrypted,"['official', 'website', 'and', 'that', 'any', 'information', 'you', 'provide', 'is', 'encrypted']","['offici', 'websit', 'and', 'that', 'ani', 'inform', 'you', 'provid', 'is', 'encrypt']","['official', 'website', 'and', 'that', 'any', 'information', 'you', 'provide', 'is', 'encrypted']"
and transmitted securely.,and transmitted securely,"['and', 'transmitted', 'securely']","['and', 'transmit', 'secur']","['and', 'transmitted', 'securely']"
Log in,log in,"['log', 'in']","['log', 'in']","['log', 'in']"
Show account info,show account info,"['show', 'account', 'info']","['show', 'account', 'info']","['show', 'account', 'info']"
Close,close,['close'],['close'],['close']
Account,account,['account'],['account'],['account']
Logged in as:,logged in as,"['logged', 'in', 'as']","['log', 'in', 'as']","['logged', 'in', 'a']"
username,username,['username'],['usernam'],['username']
Dashboard,dashboard,['dashboard'],['dashboard'],['dashboard']
Publications,publications,['publications'],['public'],['publication']
Account settings,account settings,"['account', 'settings']","['account', 'set']","['account', 'setting']"
Log out,log out,"['log', 'out']","['log', 'out']","['log', 'out']"
Access keys,access keys,"['access', 'keys']","['access', 'key']","['access', 'key']"
NCBI Homepage,ncbi homepage,"['ncbi', 'homepage']","['ncbi', 'homepag']","['ncbi', 'homepage']"
MyNCBI Homepage,myncbi homepage,"['myncbi', 'homepage']","['myncbi', 'homepag']","['myncbi', 'homepage']"
Main Content,main content,"['main', 'content']","['main', 'content']","['main', 'content']"
Main Navigation,main navigation,"['main', 'navigation']","['main', 'navig']","['main', 'navigation']"
Search:,search,['search'],['search'],['search']
Search,search,['search'],['search'],['search']
Advanced,advanced,['advanced'],['advanc'],['advanced']
Clipboard,clipboard,['clipboard'],['clipboard'],['clipboard']
User Guide,user guide,"['user', 'guide']","['user', 'guid']","['user', 'guide']"
Save,save,['save'],['save'],['save']
Email,email,['email'],['email'],['email']
Send to,send to,"['send', 'to']","['send', 'to']","['send', 'to']"
Clipboard,clipboard,['clipboard'],['clipboard'],['clipboard']
My BibliographyCollectionsCitation manager,my bibliographycollectionscitation manager,"['my', 'bibliographycollectionscitation', 'manager']","['my', 'bibliographycollectionscit', 'manag']","['my', 'bibliographycollectionscitation', 'manager']"
Display options,display options,"['display', 'options']","['display', 'option']","['display', 'option']"
Display options,display options,"['display', 'options']","['display', 'option']","['display', 'option']"
Format,format,['format'],['format'],['format']
Abstract,abstract,['abstract'],['abstract'],['abstract']
PubMed,pubmed,['pubmed'],['pubm'],['pubmed']
PMID,pmid,['pmid'],['pmid'],['pmid']
Save citation to file,save citation to file,"['save', 'citation', 'to', 'file']","['save', 'citat', 'to', 'file']","['save', 'citation', 'to', 'file']"
Format:,format,['format'],['format'],['format']
Summary (text),summary text,"['summary', 'text']","['summari', 'text']","['summary', 'text']"
PubMed,pubmed,['pubmed'],['pubm'],['pubmed']
PMID,pmid,['pmid'],['pmid'],['pmid']
Abstract (text),abstract text,"['abstract', 'text']","['abstract', 'text']","['abstract', 'text']"
CSV,csv,['csv'],['csv'],['csv']
Create file,create file,"['create', 'file']","['creat', 'file']","['create', 'file']"
Cancel,cancel,['cancel'],['cancel'],['cancel']
Email citation,email citation,"['email', 'citation']","['email', 'citat']","['email', 'citation']"
Subject:,subject,['subject'],['subject'],['subject']
1 selected item: 36361634 - PubMed,1 selected item 36361634 pubmed,"['1', 'selected', 'item', '36361634', 'pubmed']","['1', 'select', 'item', '36361634', 'pubm']","['1', 'selected', 'item', '36361634', 'pubmed']"
To:,to,['to'],['to'],['to']
From:,from,['from'],['from'],['from']
Format:,format,['format'],['format'],['format']
Summary,summary,['summary'],['summari'],['summary']
Summary (text),summary text,"['summary', 'text']","['summari', 'text']","['summary', 'text']"
Abstract,abstract,['abstract'],['abstract'],['abstract']
Abstract (text),abstract text,"['abstract', 'text']","['abstract', 'text']","['abstract', 'text']"
MeSH and other data,mesh and other data,"['mesh', 'and', 'other', 'data']","['mesh', 'and', 'other', 'data']","['mesh', 'and', 'other', 'data']"
Send email,send email,"['send', 'email']","['send', 'email']","['send', 'email']"
Cancel,cancel,['cancel'],['cancel'],['cancel']
Add to Collections,add to collections,"['add', 'to', 'collections']","['add', 'to', 'collect']","['add', 'to', 'collection']"
Create a new collection,create a new collection,"['create', 'a', 'new', 'collection']","['creat', 'a', 'new', 'collect']","['create', 'a', 'new', 'collection']"
Add to an existing collection,add to an existing collection,"['add', 'to', 'an', 'existing', 'collection']","['add', 'to', 'an', 'exist', 'collect']","['add', 'to', 'an', 'existing', 'collection']"
Name your collection:,name your collection,"['name', 'your', 'collection']","['name', 'your', 'collect']","['name', 'your', 'collection']"
Name must be less than 100 characters,name must be less than 100 characters,"['name', 'must', 'be', 'less', 'than', '100', 'characters']","['name', 'must', 'be', 'less', 'than', '100', 'charact']","['name', 'must', 'be', 'less', 'than', '100', 'character']"
Choose a collection:,choose a collection,"['choose', 'a', 'collection']","['choos', 'a', 'collect']","['choose', 'a', 'collection']"
Unable to load your collection due to an error,unable to load your collection due to an error,"['unable', 'to', 'load', 'your', 'collection', 'due', 'to', 'an', 'error']","['unabl', 'to', 'load', 'your', 'collect', 'due', 'to', 'an', 'error']","['unable', 'to', 'load', 'your', 'collection', 'due', 'to', 'an', 'error']"
Please try again,please try again,"['please', 'try', 'again']","['pleas', 'tri', 'again']","['please', 'try', 'again']"
Add,add,['add'],['add'],['add']
Cancel,cancel,['cancel'],['cancel'],['cancel']
Add to My Bibliography,add to my bibliography,"['add', 'to', 'my', 'bibliography']","['add', 'to', 'my', 'bibliographi']","['add', 'to', 'my', 'bibliography']"
My Bibliography,my bibliography,"['my', 'bibliography']","['my', 'bibliographi']","['my', 'bibliography']"
Unable to load your delegates due to an error,unable to load your delegates due to an error,"['unable', 'to', 'load', 'your', 'delegates', 'due', 'to', 'an', 'error']","['unabl', 'to', 'load', 'your', 'deleg', 'due', 'to', 'an', 'error']","['unable', 'to', 'load', 'your', 'delegate', 'due', 'to', 'an', 'error']"
Please try again,please try again,"['please', 'try', 'again']","['pleas', 'tri', 'again']","['please', 'try', 'again']"
Add,add,['add'],['add'],['add']
Cancel,cancel,['cancel'],['cancel'],['cancel']
Your saved search,your saved search,"['your', 'saved', 'search']","['your', 'save', 'search']","['your', 'saved', 'search']"
Name of saved search:,name of saved search,"['name', 'of', 'saved', 'search']","['name', 'of', 'save', 'search']","['name', 'of', 'saved', 'search']"
Search terms:,search terms,"['search', 'terms']","['search', 'term']","['search', 'term']"
Test search terms,test search terms,"['test', 'search', 'terms']","['test', 'search', 'term']","['test', 'search', 'term']"
Would you like email updates of new search results?,would you like email updates of new search results,"['would', 'you', 'like', 'email', 'updates', 'of', 'new', 'search', 'results']","['would', 'you', 'like', 'email', 'updat', 'of', 'new', 'search', 'result']","['would', 'you', 'like', 'email', 'update', 'of', 'new', 'search', 'result']"
Saved Search Alert Radio Buttons,saved search alert radio buttons,"['saved', 'search', 'alert', 'radio', 'buttons']","['save', 'search', 'alert', 'radio', 'button']","['saved', 'search', 'alert', 'radio', 'button']"
Yes,yes,['yes'],['ye'],['yes']
No,no,['no'],['no'],['no']
Email:,email,['email'],['email'],['email']
(change),change,['change'],['chang'],['change']
Frequency:,frequency,['frequency'],['frequenc'],['frequency']
Monthly,monthly,['monthly'],['monthli'],['monthly']
Weekly,weekly,['weekly'],['weekli'],['weekly']
Daily,daily,['daily'],['daili'],['daily']
Which day?,which day,"['which', 'day']","['which', 'day']","['which', 'day']"
The first Sunday,the first sunday,"['the', 'first', 'sunday']","['the', 'first', 'sunday']","['the', 'first', 'sunday']"
The first Monday,the first monday,"['the', 'first', 'monday']","['the', 'first', 'monday']","['the', 'first', 'monday']"
The first Tuesday,the first tuesday,"['the', 'first', 'tuesday']","['the', 'first', 'tuesday']","['the', 'first', 'tuesday']"
The first Wednesday,the first wednesday,"['the', 'first', 'wednesday']","['the', 'first', 'wednesday']","['the', 'first', 'wednesday']"
The first Thursday,the first thursday,"['the', 'first', 'thursday']","['the', 'first', 'thursday']","['the', 'first', 'thursday']"
The first Friday,the first friday,"['the', 'first', 'friday']","['the', 'first', 'friday']","['the', 'first', 'friday']"
The first Saturday,the first saturday,"['the', 'first', 'saturday']","['the', 'first', 'saturday']","['the', 'first', 'saturday']"
The first day,the first day,"['the', 'first', 'day']","['the', 'first', 'day']","['the', 'first', 'day']"
The first weekday,the first weekday,"['the', 'first', 'weekday']","['the', 'first', 'weekday']","['the', 'first', 'weekday']"
Which day?,which day,"['which', 'day']","['which', 'day']","['which', 'day']"
Sunday,sunday,['sunday'],['sunday'],['sunday']
Monday,monday,['monday'],['monday'],['monday']
Tuesday,tuesday,['tuesday'],['tuesday'],['tuesday']
Wednesday,wednesday,['wednesday'],['wednesday'],['wednesday']
Thursday,thursday,['thursday'],['thursday'],['thursday']
Friday,friday,['friday'],['friday'],['friday']
Saturday,saturday,['saturday'],['saturday'],['saturday']
Report format:,report format,"['report', 'format']","['report', 'format']","['report', 'format']"
Summary,summary,['summary'],['summari'],['summary']
Summary (text),summary text,"['summary', 'text']","['summari', 'text']","['summary', 'text']"
Abstract,abstract,['abstract'],['abstract'],['abstract']
Abstract (text),abstract text,"['abstract', 'text']","['abstract', 'text']","['abstract', 'text']"
PubMed,pubmed,['pubmed'],['pubm'],['pubmed']
Send at most:,send at most,"['send', 'at', 'most']","['send', 'at', 'most']","['send', 'at', 'most']"
1 item,1 item,"['1', 'item']","['1', 'item']","['1', 'item']"
5 items,5 items,"['5', 'items']","['5', 'item']","['5', 'item']"
10 items,10 items,"['10', 'items']","['10', 'item']","['10', 'item']"
20 items,20 items,"['20', 'items']","['20', 'item']","['20', 'item']"
50 items,50 items,"['50', 'items']","['50', 'item']","['50', 'item']"
100 items,100 items,"['100', 'items']","['100', 'item']","['100', 'item']"
200 items,200 items,"['200', 'items']","['200', 'item']","['200', 'item']"
Send even when there aren't any new results,send even when there arent any new results,"['send', 'even', 'when', 'there', 'arent', 'any', 'new', 'results']","['send', 'even', 'when', 'there', 'arent', 'ani', 'new', 'result']","['send', 'even', 'when', 'there', 'arent', 'any', 'new', 'result']"
Optional text in email:,optional text in email,"['optional', 'text', 'in', 'email']","['option', 'text', 'in', 'email']","['optional', 'text', 'in', 'email']"
Save,save,['save'],['save'],['save']
Cancel,cancel,['cancel'],['cancel'],['cancel']
Create a file for external citation management software,create a file for external citation management software,"['create', 'a', 'file', 'for', 'external', 'citation', 'management', 'software']","['creat', 'a', 'file', 'for', 'extern', 'citat', 'manag', 'softwar']","['create', 'a', 'file', 'for', 'external', 'citation', 'management', 'software']"
Create file,create file,"['create', 'file']","['creat', 'file']","['create', 'file']"
Cancel,cancel,['cancel'],['cancel'],['cancel']
Your RSS Feed,your rss feed,"['your', 'rss', 'feed']","['your', 'rss', 'feed']","['your', 'rss', 'feed']"
Name of RSS Feed:,name of rss feed,"['name', 'of', 'rss', 'feed']","['name', 'of', 'rss', 'feed']","['name', 'of', 'rss', 'feed']"
Number of items displayed:,number of items displayed,"['number', 'of', 'items', 'displayed']","['number', 'of', 'item', 'display']","['number', 'of', 'item', 'displayed']"
5,5,['5'],['5'],['5']
10,10,['10'],['10'],['10']
15,15,['15'],['15'],['15']
20,20,['20'],['20'],['20']
50,50,['50'],['50'],['50']
100,100,['100'],['100'],['100']
Create RSS,create rss,"['create', 'rss']","['creat', 'rss']","['create', 'rss']"
Cancel,cancel,['cancel'],['cancel'],['cancel']
RSS Link,rss link,"['rss', 'link']","['rss', 'link']","['rss', 'link']"
Copy,copy,['copy'],['copi'],['copy']
Full text links,full text links,"['full', 'text', 'links']","['full', 'text', 'link']","['full', 'text', 'link']"
MDPI,mdpi,['mdpi'],['mdpi'],['mdpi']
Free PMC article,free pmc article,"['free', 'pmc', 'article']","['free', 'pmc', 'articl']","['free', 'pmc', 'article']"
Full text links,full text links,"['full', 'text', 'links']","['full', 'text', 'link']","['full', 'text', 'link']"
ActionsCiteCollectionsAdd to CollectionsCreate a new collectionAdd to an existing collection,actionscitecollectionsadd to collectionscreate a new collectionadd to an existing collection,"['actionscitecollectionsadd', 'to', 'collectionscreate', 'a', 'new', 'collectionadd', 'to', 'an', 'existing', 'collection']","['actionscitecollectionsadd', 'to', 'collectionscr', 'a', 'new', 'collectionadd', 'to', 'an', 'exist', 'collect']","['actionscitecollectionsadd', 'to', 'collectionscreate', 'a', 'new', 'collectionadd', 'to', 'an', 'existing', 'collection']"
Name your collection:,name your collection,"['name', 'your', 'collection']","['name', 'your', 'collect']","['name', 'your', 'collection']"
Name must be less than 100 characters,name must be less than 100 characters,"['name', 'must', 'be', 'less', 'than', '100', 'characters']","['name', 'must', 'be', 'less', 'than', '100', 'charact']","['name', 'must', 'be', 'less', 'than', '100', 'character']"
Choose a collection:,choose a collection,"['choose', 'a', 'collection']","['choos', 'a', 'collect']","['choose', 'a', 'collection']"
Unable to load your collection due to an errorPlease try again,unable to load your collection due to an errorplease try again,"['unable', 'to', 'load', 'your', 'collection', 'due', 'to', 'an', 'errorplease', 'try', 'again']","['unabl', 'to', 'load', 'your', 'collect', 'due', 'to', 'an', 'errorpleas', 'tri', 'again']","['unable', 'to', 'load', 'your', 'collection', 'due', 'to', 'an', 'errorplease', 'try', 'again']"
Add,add,['add'],['add'],['add']
Cancel,cancel,['cancel'],['cancel'],['cancel']
Display options,display options,"['display', 'options']","['display', 'option']","['display', 'option']"
Display options,display options,"['display', 'options']","['display', 'option']","['display', 'option']"
Format,format,['format'],['format'],['format']
AbstractPubMedPMID,abstractpubmedpmid,['abstractpubmedpmid'],['abstractpubmedpmid'],['abstractpubmedpmid']
Share,share,['share'],['share'],['share']
Permalink,permalink,['permalink'],['permalink'],['permalink']
Copy,copy,['copy'],['copi'],['copy']
Page navigation,page navigation,"['page', 'navigation']","['page', 'navig']","['page', 'navigation']"
Title & authors,title authors,"['title', 'authors']","['titl', 'author']","['title', 'author']"
Abstract,abstract,['abstract'],['abstract'],['abstract']
Conflict of interest statement,conflict of interest statement,"['conflict', 'of', 'interest', 'statement']","['conflict', 'of', 'interest', 'statement']","['conflict', 'of', 'interest', 'statement']"
Figures,figures,['figures'],['figur'],['figure']
Similar articles,similar articles,"['similar', 'articles']","['similar', 'articl']","['similar', 'article']"
Cited by,cited by,"['cited', 'by']","['cite', 'by']","['cited', 'by']"
References,references,['references'],['refer'],['reference']
Publication types,publication types,"['publication', 'types']","['public', 'type']","['publication', 'type']"
MeSH terms,mesh terms,"['mesh', 'terms']","['mesh', 'term']","['mesh', 'term']"
Substances,substances,['substances'],['substanc'],['substance']
Related information,related information,"['related', 'information']","['relat', 'inform']","['related', 'information']"
Grants and funding,grants and funding,"['grants', 'and', 'funding']","['grant', 'and', 'fund']","['grant', 'and', 'funding']"
LinkOut - more resources,linkout more resources,"['linkout', 'more', 'resources']","['linkout', 'more', 'resourc']","['linkout', 'more', 'resource']"
Title & authors,title authors,"['title', 'authors']","['titl', 'author']","['title', 'author']"
Abstract,abstract,['abstract'],['abstract'],['abstract']
Conflict of interest statement,conflict of interest statement,"['conflict', 'of', 'interest', 'statement']","['conflict', 'of', 'interest', 'statement']","['conflict', 'of', 'interest', 'statement']"
Figures,figures,['figures'],['figur'],['figure']
Similar articles,similar articles,"['similar', 'articles']","['similar', 'articl']","['similar', 'article']"
Cited by,cited by,"['cited', 'by']","['cite', 'by']","['cited', 'by']"
References,references,['references'],['refer'],['reference']
Publication types,publication types,"['publication', 'types']","['public', 'type']","['publication', 'type']"
MeSH terms,mesh terms,"['mesh', 'terms']","['mesh', 'term']","['mesh', 'term']"
Substances,substances,['substances'],['substanc'],['substance']
Related information,related information,"['related', 'information']","['relat', 'inform']","['related', 'information']"
Grants and funding,grants and funding,"['grants', 'and', 'funding']","['grant', 'and', 'fund']","['grant', 'and', 'funding']"
LinkOut - more resources,linkout more resources,"['linkout', 'more', 'resources']","['linkout', 'more', 'resourc']","['linkout', 'more', 'resource']"
Review,review,['review'],['review'],['review']
Int J Mol Sci,int j mol sci,"['int', 'j', 'mol', 'sci']","['int', 'j', 'mol', 'sci']","['int', 'j', 'mol', 'sci']"
Actions,actions,['actions'],['action'],['action']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']","['search', 'in', 'pubm']","['search', 'in', 'pubmed']"
Search in NLM Catalog,search in nlm catalog,"['search', 'in', 'nlm', 'catalog']","['search', 'in', 'nlm', 'catalog']","['search', 'in', 'nlm', 'catalog']"
Add to Search,add to search,"['add', 'to', 'search']","['add', 'to', 'search']","['add', 'to', 'search']"
. 2022 Oct 25;23(21):12844.,2022 oct 25232112844,"['2022', 'oct', '25232112844']","['2022', 'oct', '25232112844']","['2022', 'oct', '25232112844']"
doi: 10.3390/ijms232112844.,doi 103390ijms232112844,"['doi', '103390ijms232112844']","['doi', '103390ijms232112844']","['doi', '103390ijms232112844']"
The Role of Telomerase in Breast Cancer's Response to Therapy,the role of telomerase in breast cancers response to therapy,"['the', 'role', 'of', 'telomerase', 'in', 'breast', 'cancers', 'response', 'to', 'therapy']","['the', 'role', 'of', 'telomeras', 'in', 'breast', 'cancer', 'respons', 'to', 'therapi']","['the', 'role', 'of', 'telomerase', 'in', 'breast', 'cancer', 'response', 'to', 'therapy']"
Eliza Judasz,eliza judasz,"['eliza', 'judasz']","['eliza', 'judasz']","['eliza', 'judasz']"
1,1,['1'],['1'],['1']
", Natalia Lisiak",natalia lisiak,"['natalia', 'lisiak']","['natalia', 'lisiak']","['natalia', 'lisiak']"
1,1,['1'],['1'],['1']
", Przemysław Kopczyński",przemysław kopczyński,"['przemysław', 'kopczyński']","['przemysław', 'kopczyński']","['przemysław', 'kopczyński']"
2,2,['2'],['2'],['2']
", Magdalena Taube",magdalena taube,"['magdalena', 'taube']","['magdalena', 'taub']","['magdalena', 'taube']"
1,1,['1'],['1'],['1']
", Błażej Rubiś",błażej rubiś,"['błażej', 'rubiś']","['błażej', 'rubiś']","['błażej', 'rubiś']"
1,1,['1'],['1'],['1']
Affiliations,affiliations,['affiliations'],['affili'],['affiliation']
Expand,expand,['expand'],['expand'],['expand']
Affiliations,affiliations,['affiliations'],['affili'],['affiliation']
"1 Department of Clinical Chemistry and Molecular Diagnostics, Poznan University of Medical Sciences, 60-806 Poznan, Poland.",1 department of clinical chemistry and molecular diagnostics poznan university of medical sciences 60806 poznan poland,"['1', 'department', 'of', 'clinical', 'chemistry', 'and', 'molecular', 'diagnostics', 'poznan', 'university', 'of', 'medical', 'sciences', '60806', 'poznan', 'poland']","['1', 'depart', 'of', 'clinic', 'chemistri', 'and', 'molecular', 'diagnost', 'poznan', 'univers', 'of', 'medic', 'scienc', '60806', 'poznan', 'poland']","['1', 'department', 'of', 'clinical', 'chemistry', 'and', 'molecular', 'diagnostics', 'poznan', 'university', 'of', 'medical', 'science', '60806', 'poznan', 'poland']"
"2 Centre for Orthodontic Mini-Implants at the Department and Clinic of Maxillofacial Orthopedics and Orthodontics, Poznan University of Medical Sciences, 60-812 Poznan, Poland.",2 centre for orthodontic miniimplants at the department and clinic of maxillofacial orthopedics and orthodontics poznan university of medical sciences 60812 poznan poland,"['2', 'centre', 'for', 'orthodontic', 'miniimplants', 'at', 'the', 'department', 'and', 'clinic', 'of', 'maxillofacial', 'orthopedics', 'and', 'orthodontics', 'poznan', 'university', 'of', 'medical', 'sciences', '60812', 'poznan', 'poland']","['2', 'centr', 'for', 'orthodont', 'miniimpl', 'at', 'the', 'depart', 'and', 'clinic', 'of', 'maxillofaci', 'orthoped', 'and', 'orthodont', 'poznan', 'univers', 'of', 'medic', 'scienc', '60812', 'poznan', 'poland']","['2', 'centre', 'for', 'orthodontic', 'miniimplants', 'at', 'the', 'department', 'and', 'clinic', 'of', 'maxillofacial', 'orthopedics', 'and', 'orthodontics', 'poznan', 'university', 'of', 'medical', 'science', '60812', 'poznan', 'poland']"
PMID:,pmid,['pmid'],['pmid'],['pmid']
36361634,36361634,['36361634'],['36361634'],['36361634']
PMCID:,pmcid,['pmcid'],['pmcid'],['pmcid']
PMC9654063,pmc9654063,['pmc9654063'],['pmc9654063'],['pmc9654063']
DOI:,doi,['doi'],['doi'],['doi']
10.3390/ijms232112844,103390ijms232112844,['103390ijms232112844'],['103390ijms232112844'],['103390ijms232112844']
Item in Clipboard,item in clipboard,"['item', 'in', 'clipboard']","['item', 'in', 'clipboard']","['item', 'in', 'clipboard']"
Review,review,['review'],['review'],['review']
The Role of Telomerase in Breast Cancer's Response to Therapy,the role of telomerase in breast cancers response to therapy,"['the', 'role', 'of', 'telomerase', 'in', 'breast', 'cancers', 'response', 'to', 'therapy']","['the', 'role', 'of', 'telomeras', 'in', 'breast', 'cancer', 'respons', 'to', 'therapi']","['the', 'role', 'of', 'telomerase', 'in', 'breast', 'cancer', 'response', 'to', 'therapy']"
Eliza Judasz et al.,eliza judasz et al,"['eliza', 'judasz', 'et', 'al']","['eliza', 'judasz', 'et', 'al']","['eliza', 'judasz', 'et', 'al']"
Int J Mol Sci.,int j mol sci,"['int', 'j', 'mol', 'sci']","['int', 'j', 'mol', 'sci']","['int', 'j', 'mol', 'sci']"
2022.,2022,['2022'],['2022'],['2022']
Show details,show details,"['show', 'details']","['show', 'detail']","['show', 'detail']"
Display options,display options,"['display', 'options']","['display', 'option']","['display', 'option']"
Display options,display options,"['display', 'options']","['display', 'option']","['display', 'option']"
Format,format,['format'],['format'],['format']
Abstract,abstract,['abstract'],['abstract'],['abstract']
PubMed,pubmed,['pubmed'],['pubm'],['pubmed']
PMID,pmid,['pmid'],['pmid'],['pmid']
Int J Mol Sci,int j mol sci,"['int', 'j', 'mol', 'sci']","['int', 'j', 'mol', 'sci']","['int', 'j', 'mol', 'sci']"
Actions,actions,['actions'],['action'],['action']
Search in PubMed,search in pubmed,"['search', 'in', 'pubmed']","['search', 'in', 'pubm']","['search', 'in', 'pubmed']"
Search in NLM Catalog,search in nlm catalog,"['search', 'in', 'nlm', 'catalog']","['search', 'in', 'nlm', 'catalog']","['search', 'in', 'nlm', 'catalog']"
Add to Search,add to search,"['add', 'to', 'search']","['add', 'to', 'search']","['add', 'to', 'search']"
. 2022 Oct 25;23(21):12844.,2022 oct 25232112844,"['2022', 'oct', '25232112844']","['2022', 'oct', '25232112844']","['2022', 'oct', '25232112844']"
doi: 10.3390/ijms232112844.,doi 103390ijms232112844,"['doi', '103390ijms232112844']","['doi', '103390ijms232112844']","['doi', '103390ijms232112844']"
Authors,authors,['authors'],['author'],['author']
Eliza Judasz,eliza judasz,"['eliza', 'judasz']","['eliza', 'judasz']","['eliza', 'judasz']"
1,1,['1'],['1'],['1']
", Natalia Lisiak",natalia lisiak,"['natalia', 'lisiak']","['natalia', 'lisiak']","['natalia', 'lisiak']"
1,1,['1'],['1'],['1']
", Przemysław Kopczyński",przemysław kopczyński,"['przemysław', 'kopczyński']","['przemysław', 'kopczyński']","['przemysław', 'kopczyński']"
2,2,['2'],['2'],['2']
", Magdalena Taube",magdalena taube,"['magdalena', 'taube']","['magdalena', 'taub']","['magdalena', 'taube']"
1,1,['1'],['1'],['1']
", Błażej Rubiś",błażej rubiś,"['błażej', 'rubiś']","['błażej', 'rubiś']","['błażej', 'rubiś']"
1,1,['1'],['1'],['1']
Affiliations,affiliations,['affiliations'],['affili'],['affiliation']
"1 Department of Clinical Chemistry and Molecular Diagnostics, Poznan University of Medical Sciences, 60-806 Poznan, Poland.",1 department of clinical chemistry and molecular diagnostics poznan university of medical sciences 60806 poznan poland,"['1', 'department', 'of', 'clinical', 'chemistry', 'and', 'molecular', 'diagnostics', 'poznan', 'university', 'of', 'medical', 'sciences', '60806', 'poznan', 'poland']","['1', 'depart', 'of', 'clinic', 'chemistri', 'and', 'molecular', 'diagnost', 'poznan', 'univers', 'of', 'medic', 'scienc', '60806', 'poznan', 'poland']","['1', 'department', 'of', 'clinical', 'chemistry', 'and', 'molecular', 'diagnostics', 'poznan', 'university', 'of', 'medical', 'science', '60806', 'poznan', 'poland']"
